column_id,column_description
HRS2016Q1,HOUSEHOLD IDENTIFICATION NUMBER ... 20912 010001-959738. Household Identification Number
HRS2016Q2,RESPONDENT PERSON IDENTIFICATION NUMBER ... 11991 010. Person Identifier 696 011. Person Identifier 33 012. Person Identifier 1 013. Person Identifier 6697 020. Person Identifier 214 021. Person Identifier 18 022. Person Identifier 1 023. Person Identifier 432 030. Person Identifier 47 031. Person Identifier 4 032. Person Identifier 1 033. Person Identifier 719 040. Person Identifier 51 041. Person Identifier 6 042. Person Identifier 1 043. Person Identifier
HRS2016Q3,2016 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 19158 0. Original sample household - no split from divorce or separation of spouses or partners 869 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 691 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 66 5. Split household - one half of couple from Q3 1 or 2 7 6. Split household - one half of couple from Q3 1 or 2 120 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2
HRS2016Q4,2014 SUB HOUSEHOLD IDENTIFICATION NUMBER ... 14933 0. Original sample household - no split from divorce or separation of spouses or partners 773 1. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 627 2. Split household - one half of couple from Q3 0 and new spouse or partner\, if any 55 5. Split household - one half of couple from Q3 1 or 2 6 6. Split household - one half of couple from Q3 1 or 2 99 7. Reunited household - respondents from split household reunite 1 8. Split household - one half of couple from Q3 1 or 2 4418 Blank. New Cohort HH
HRS2016Q5,2016 SPOUSE/PARTNER PERSON NUMBER ... 5750 010. Person Identifier 503 011. Person Identifier 27 012. Person Identifier 1 013. Person Identifier 5435 020. Person Identifier 175 021. Person Identifier 14 022. Person Identifier 1 023. Person Identifier 255 030. Person Identifier 29 031. Person Identifier 1 032. Person Identifier 1 033. Person Identifier 454 040. Person Identifier 38 041. Person Identifier 3 042. Person Identifier 2 043. Person Identifier 8 810. Spouse of Original R\, Never Entered Sample 36 811. Spouse of Non-Original Respondent 3 812. Spouse of Non-Original Respondent 6 821. Spouse of Non-Original Respondent 2 822. Spouse of Non-Original Respondent 3 831. Spouse of Non-Original Respondent 2 832. Spouse of Non-Original Respondent 4 841. Spouse of Non-Original Respondent 8159 Blank. Single Respondent Household
HRS2016Q6,2016 WHETHER COVERSHEET RESPONDENT ... 15018 1. Yes 55 3. 2nd Coverscreen R\, answers not retained 5839 5. No
HRS2016Q7,2016 WHETHER FAMILY RESPONDENT ... 14561 1. Family R 25 3. 2nd Family R\, answers not retained 6326 5. Non-Family R
HRS2016Q8,2016 WHETHER FINANCIAL RESPONDENT ... 14766 1. Financial R 25 3. 2nd Financial R\, answers not retained 6121 5. Non-Financial R
HRS2016Q9,Ref: SecJ.Q9_3Wave * ... 20912 0. Asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2016Q10,Ref: SecJ.Q10_4Wave * ... 20912 0. Asked this wave Blank. INAP (Inapplicable); Partial Interview
HRS2016Q31,Ref: SecJ.WORKSTATUS.Q31_ * ... 4056 1. WORK SOMEONE ELSE AND EMPLOYED PREV WAVE 1913 2. NOT WORK SOME ELSE AND EMPLOYED PREV WAVE 602 3. NOT CURRENTLY SELF EMP AND SELF EMP PREV WAVE 14341 4. ALL OTHERS
HRS2016Q32,Ref: SecJ.WORKSTATUS.Q32Q33BP * ... 4056 3. WORKING FOR SOMEONE ELSE THIS WAVE AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 1913 4. (NOT WORKING FOR PAY OR NOT WORKING FOR SOMEONE ELSE) AND NOT WORKING FOR SOMEONE ELSE LAST WAVE 602 5. SELF EMPLOYED LAST WAVE AND NOT SELF EMPLOYED THIS WAVE 14315 6. ALL OTHERS 26 7. WORKING FOR SOMEONE ELSE LAST WAVE\, BUT SOMEONE DIFFERENT THIS WAVE
HRS2016Q33,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.Q33_MoStopWrkSelf IF SELF EMPLOYED AT DIFFERENT BUSINESS (Q30=5): In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed. In what month and year did you stop working for yourself? IWER: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] Month: Year: ... 60 1. JAN 24 2. FEB 24 3. MAR 24 4. APR 35 5. MAY 51 6. JUN 38 7. JUL 38 8. AUG 37 9. SEP 31 10. OCT 30 11. NOV 58 12. DEC 94. STILL WORKING FOR SELF (AS PRIMARY JOB) 37 96. STILL WORKING FOR SELF AS SECOND JOB 73 97. DENIES BEING SELF-EMPLOYED AT PREVIOUS IW 62 98. DK (Don't Know); NA (Not Ascertained) 4 99. RF (Refused) 20286 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q34,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.Q34_YrStopWrkSelf IF SELF EMPLOYED AT DIFFERENT BUSINESS (Q30=5): In what month and year did you stop working for the business you were working for in [Prev IW Month] [Prev IW Year]? OTHERWISE: (According to our records\, in [Prev IW Month] [Prev IW Year] you were self-employed.) In what month and year did you stop working for yourself? IWER: Month entered must be between [Prev IW Month] \, [Prev IW Year] and [Current Month]\, [Current Year] Month: [STOPPED WORKING FOR SLF-MO] Year: ... 474 2006-2017. Actual Value 38 9998. DK (Don't Know); NA (Not Ascertained) 114 9999. RF (Refused) 20286 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q35,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.Q35Q33TOW158_2BP * ... 555 0. ALL OTHERS 73 1. R DENIES WORKING FOR SELF PREV WAVE 20284 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q36,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.Q36_ Were there any months since [[Current Month][Year -- two years ago]/[Month][Previous Wave IW Year]] when you were not working for pay? ... 17 1. YES 19 5. NO 1 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 20875 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q37,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.Q37Q36TOW158_2BP * ... 17 0. ALL OTHERS 20 1. R DID NOT REPORT ANY MONTHS NOT WORKING FOR PAY AT Q36 20875 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q38,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.J029M.W779_MonthsPerYear[1].W776_Year * ... 2 2017. Actual Value 20910 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q39,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.J029M.W779_MonthsPerYear[1].W777_ Were there any months in [Eligible Year] [when you were not working for pay]? ... 2 1. YES 5. NO 8. DK (Don't Know); NA (Not Ascertained) 9. RF (Refused) 20910 Blank. INAP (Inapplicable); Partial Interview
HRS2016Q40,Ref: SecJ.PREVIOUSJOBAQ2DPEQ2SIOQ2.PWSELFQ2OWELSE.J029M.W779_MonthsPerYear[1].W778_WhichMonths[1] Which months in [Eligible Year] were those ([when you were not working for pay])? IWER: Choose all that apply IWER: Only eligible months will appear on the list IWER: You must enter month(s) for this question. If you have gotten this question in error\, back up and change answer to previous question to 'No' ... 2 1. JAN 2. FEB 3. MAR 4. APR 5. MAY 6. JUN 7. JUL 8. AUG 9. SEP 10. OCT 11. NOV 12. DEC 98. DK (Don't Know); NA (Not Ascertained) 99. RF (Refused) 20910 Blank. INAP (Inapplicable); Partial Interview
